OrderID,ProductID,Quantity,Price,Date
1014,102,3,150,2023-02-04
1034,105,2,250,2023-02-04
1091,105,2,250,2023-02-10
1064,102,3,150,2023-02-11
1011,103,1,300,2023-02-16
1005,104,3,100,2023-02-21
1081,103,2,300,2023-02-01
1070,102,4,150,2023-02-09
1001,104,5,100,2023-02-23
1069,101,2,200,2023-02-04
1070,103,5,300,2023-02-02
1005,104,2,100,2023-02-05
1045,103,1,300,2023-02-10
1045,102,1,150,2023-02-07
1079,105,4,250,2023-02-25
1020,102,2,150,2023-02-24
1003,102,4,150,2023-02-26
1085,103,4,300,2023-02-06
1020,102,3,150,2023-02-28
1004,101,4,200,2023-02-26
1025,104,2,100,2023-02-28
1039,104,3,100,2023-02-27
1003,102,2,150,2023-02-27
1042,102,4,150,2023-02-22
1044,101,3,200,2023-02-09
1086,105,4,250,2023-02-21
1003,105,3,250,2023-02-27
1074,103,2,300,2023-02-04
1076,101,1,200,2023-02-09
1055,103,3,300,2023-02-14
1049,105,1,250,2023-02-20
1005,102,3,150,2023-02-19
1066,104,1,100,2023-02-23
1046,105,2,250,2023-02-26
1079,101,3,200,2023-02-14
1064,101,3,200,2023-02-11
1051,104,3,100,2023-02-10
1016,103,5,300,2023-02-23
1086,104,4,100,2023-02-07
1072,102,5,150,2023-02-24
1000,104,5,100,2023-02-10
1055,103,2,300,2023-02-10
1083,105,5,250,2023-02-26
1056,104,4,100,2023-02-11
1060,102,5,150,2023-02-22
1036,102,1,150,2023-02-26
1011,105,3,250,2023-02-17
1028,102,3,150,2023-02-27
1003,102,2,150,2023-02-26
1078,102,4,150,2023-02-02
1053,101,4,200,2023-02-28
1091,105,2,250,2023-02-21
1051,104,4,100,2023-02-23
1096,102,1,150,2023-02-08
1028,101,4,200,2023-02-28
1006,105,4,250,2023-02-06
1058,102,1,150,2023-02-18
1071,104,5,100,2023-02-05
1078,103,4,300,2023-02-20
1070,105,4,250,2023-02-27
1057,102,4,150,2023-02-15
1098,102,3,150,2023-02-09
1080,105,4,250,2023-02-25
1009,103,4,300,2023-02-08
1034,103,2,300,2023-02-23
1010,103,5,300,2023-02-11
1049,102,2,150,2023-02-05
1008,102,2,150,2023-02-23
1069,104,3,100,2023-02-14
1026,104,1,100,2023-02-15
1098,104,4,100,2023-02-27
1048,101,5,200,2023-02-19
1038,101,3,200,2023-02-16
1068,104,4,100,2023-02-25
1028,105,5,250,2023-02-24
1055,102,3,150,2023-02-16
1043,101,4,200,2023-02-16
1059,104,2,100,2023-02-22
1003,105,5,250,2023-02-05
1084,105,5,250,2023-02-13
1017,101,4,200,2023-02-01
1006,104,2,100,2023-02-28
1027,104,3,100,2023-02-09
1097,103,3,300,2023-02-15
1032,103,4,300,2023-02-13
1002,101,4,200,2023-02-27
1044,105,1,250,2023-02-24
1096,101,1,200,2023-02-08
1002,102,2,150,2023-02-01
1016,102,2,150,2023-02-20
1027,101,5,200,2023-02-16
1021,103,3,300,2023-02-15
1099,105,1,250,2023-02-20
1013,102,3,150,2023-02-27
1073,101,3,200,2023-02-19
1091,104,4,100,2023-02-22
1088,101,5,200,2023-02-07
1089,102,1,150,2023-02-27
1015,103,5,300,2023-02-25
1044,105,1,250,2023-02-26
